date,store_nbr,item_nbr,type,cluster,state,family,class,perishable,store_type,family_encoded,state_encoded,unit_sales
2013-01-05,9,207857,B,6,Pichincha,GROCERY I,1010,0,1,1,1,1.0
2013-01-05,9,208384,B,6,Pichincha,EGGS,2502,1,1,7,1,8.0
2013-01-05,9,208498,B,6,Pichincha,CLEANING,3044,0,1,3,1,16.0
2013-01-05,9,208514,B,6,Pichincha,GROCERY I,1010,0,1,1,1,12.0
2013-01-05,9,208530,B,6,Pichincha,FROZEN FOODS,2226,0,1,12,1,13.834
2013-01-05,9,208659,B,6,Pichincha,GROCERY I,1078,0,1,1,1,4.0
2013-01-05,9,209085,B,6,Pichincha,CLEANING,3026,0,1,3,1,1.0
2013-01-05,9,210798,B,6,Pichincha,GROCERY I,1074,0,1,1,1,13.0
2013-01-05,9,211205,B,6,Pichincha,GROCERY I,1072,0,1,1,1,9.0
2013-01-05,9,211999,B,6,Pichincha,GROCERY I,1036,0,1,1,1,1.0
2013-01-05,9,212552,B,6,Pichincha,GROCERY I,1044,0,1,1,1,15.0
2013-01-05,9,213066,B,6,Pichincha,GROCERY I,1074,0,1,1,1,10.0
2013-01-05,9,213652,B,6,Pichincha,GROCERY I,1048,0,1,1,1,7.0
2013-01-05,9,213788,B,6,Pichincha,GROCERY I,1096,0,1,1,1,9.0
2013-01-05,9,214381,B,6,Pichincha,CLEANING,3032,0,1,3,1,19.0
2013-01-05,9,214859,B,6,Pichincha,CLEANING,3032,0,1,3,1,14.0
2013-01-05,9,214860,B,6,Pichincha,CLEANING,3032,0,1,3,1,6.0
2013-01-05,9,214862,B,6,Pichincha,CLEANING,3034,0,1,3,1,20.0
2013-01-05,9,215304,B,6,Pichincha,GROCERY I,1026,0,1,1,1,14.0
2013-01-05,9,215327,B,6,Pichincha,GROCERY I,1040,0,1,1,1,10.0
2013-01-05,9,215331,B,6,Pichincha,GROCERY I,1040,0,1,1,1,11.0
2013-01-05,9,215332,B,6,Pichincha,GROCERY I,1040,0,1,1,1,6.0
2013-01-05,9,215352,B,6,Pichincha,GROCERY I,1016,0,1,1,1,48.0
2013-01-05,9,215356,B,6,Pichincha,GROCERY I,1016,0,1,1,1,4.0
2013-01-05,9,215370,B,6,Pichincha,BREAD/BAKERY,2718,1,1,0,1,6.0
2013-01-05,9,215896,B,6,Pichincha,GROCERY I,1044,0,1,1,1,12.0
2013-01-05,9,218728,B,6,Pichincha,CLEANING,3044,0,1,3,1,6.0
2013-01-05,9,219150,B,6,Pichincha,BEVERAGES,1122,0,1,5,1,86.0
2013-01-05,9,219152,B,6,Pichincha,BEVERAGES,1122,0,1,5,1,10.0
2013-01-05,9,220432,B,6,Pichincha,GROCERY I,1080,0,1,1,1,17.0
2013-01-05,9,220435,B,6,Pichincha,GROCERY I,1080,0,1,1,1,33.0
2013-01-05,9,220613,B,6,Pichincha,DELI,2632,1,1,2,1,1.0
2013-01-05,9,221506,B,6,Pichincha,CLEANING,3046,0,1,3,1,16.0
2013-01-05,9,222879,B,6,Pichincha,GROCERY I,1058,0,1,1,1,49.0
2013-01-05,9,222975,B,6,Pichincha,GROCERY I,1072,0,1,1,1,1.0
2013-01-05,9,223068,B,6,Pichincha,GROCERY I,1030,0,1,1,1,4.0
2013-01-05,9,223136,B,6,Pichincha,GROCERY I,1072,0,1,1,1,35.0
2013-01-05,9,223434,B,6,Pichincha,GROCERY I,1032,0,1,1,1,24.0
2013-01-05,9,224081,B,6,Pichincha,CLEANING,3022,0,1,3,1,10.0
2013-01-05,9,226126,B,6,Pichincha,CLEANING,3018,0,1,3,1,3.0
2013-01-05,9,227728,B,6,Pichincha,DAIRY,2104,1,1,6,1,16.0
2013-01-05,9,229368,B,6,Pichincha,GROCERY I,1086,0,1,1,1,2.0
2013-01-05,9,246052,B,6,Pichincha,GROCERY I,1039,0,1,1,1,3.0
2013-01-05,9,253145,B,6,Pichincha,GROCERY I,1096,0,1,1,1,3.0
2013-01-05,9,255161,B,6,Pichincha,GROCERY I,1034,0,1,1,1,3.0
2013-01-05,9,255198,B,6,Pichincha,GROCERY I,1044,0,1,1,1,8.0
2013-01-05,9,255199,B,6,Pichincha,GROCERY I,1044,0,1,1,1,18.0
2013-01-05,9,257847,B,6,Pichincha,BEVERAGES,1120,0,1,5,1,6.0
2013-01-05,9,257848,B,6,Pichincha,BEVERAGES,1120,0,1,5,1,3.0
2013-01-05,9,258376,B,6,Pichincha,CLEANING,3044,0,1,3,1,84.0
2013-01-05,9,258395,B,6,Pichincha,GROCERY I,1002,0,1,1,1,4.0
2013-01-05,9,258396,B,6,Pichincha,GROCERY I,1010,0,1,1,1,19.0
2013-01-05,9,258537,B,6,Pichincha,CLEANING,3038,0,1,3,1,9.0
2013-01-05,9,260628,B,6,Pichincha,BREAD/BAKERY,2708,1,1,0,1,31.0
2013-01-05,9,260669,B,6,Pichincha,GROCERY I,1034,0,1,1,1,6.0
2013-01-05,9,260893,B,6,Pichincha,GROCERY I,1072,0,1,1,1,1.0
2013-01-05,9,261052,B,6,Pichincha,GROCERY I,1072,0,1,1,1,122.0
2013-01-05,9,261053,B,6,Pichincha,GROCERY I,1072,0,1,1,1,10.0
2013-01-05,9,261700,B,6,Pichincha,GROCERY I,1048,0,1,1,1,16.0
2013-01-05,9,262358,B,6,Pichincha,GROCERY I,1044,0,1,1,1,4.0
2013-01-05,9,262991,B,6,Pichincha,GROCERY I,1034,0,1,1,1,11.0
2013-01-05,9,263583,B,6,Pichincha,GROCERY I,1074,0,1,1,1,3.0
2013-01-05,9,264299,B,6,Pichincha,CLEANING,3032,0,1,3,1,17.0
2013-01-05,9,264305,B,6,Pichincha,PERSONAL CARE,4126,0,1,4,1,34.0
2013-01-05,9,264751,B,6,Pichincha,CLEANING,3032,0,1,3,1,7.0
2013-01-05,9,264752,B,6,Pichincha,CLEANING,3034,0,1,3,1,9.0
2013-01-05,9,265086,B,6,Pichincha,BEVERAGES,1124,0,1,5,1,1.0
2013-01-05,9,265237,B,6,Pichincha,GROCERY I,1060,0,1,1,1,18.0
2013-01-05,9,265254,B,6,Pichincha,GROCERY I,1016,0,1,1,1,17.0
2013-01-05,9,265258,B,6,Pichincha,GROCERY I,1016,0,1,1,1,8.0
2013-01-05,9,265266,B,6,Pichincha,PREPARED FOODS,2986,1,1,10,1,7.0
2013-01-05,9,265279,B,6,Pichincha,BREAD/BAKERY,2718,1,1,0,1,32.0
2013-01-05,9,265559,B,6,Pichincha,GROCERY I,1072,0,1,1,1,112.0
2013-01-05,9,265700,B,6,Pichincha,CLEANING,3090,0,1,3,1,13.0
2013-01-05,9,268440,B,6,Pichincha,CLEANING,3026,0,1,3,1,17.0
2013-01-05,9,268443,B,6,Pichincha,CLEANING,3026,0,1,3,1,6.0
2013-01-05,9,268446,B,6,Pichincha,CLEANING,3026,0,1,3,1,7.0
2013-01-05,9,268662,B,6,Pichincha,GROCERY I,1028,0,1,1,1,2.0
2013-01-05,9,268664,B,6,Pichincha,GROCERY I,1028,0,1,1,1,1.0
2013-01-05,9,268834,B,6,Pichincha,GROCERY I,1056,0,1,1,1,12.0
2013-01-05,9,269029,B,6,Pichincha,BEVERAGES,1122,0,1,5,1,9.0
2013-01-05,9,269084,B,6,Pichincha,BREAD/BAKERY,2720,1,1,0,1,2.0
2013-01-05,9,269287,B,6,Pichincha,CLEANING,3014,0,1,3,1,1.0
2013-01-05,9,270522,B,6,Pichincha,AUTOMOTIVE,6806,0,1,17,1,20.0
2013-01-05,9,271479,B,6,Pichincha,DAIRY,2124,1,1,6,1,1.0
2013-01-05,9,273528,B,6,Pichincha,PERSONAL CARE,4114,0,1,4,1,74.0
2013-01-05,9,273859,B,6,Pichincha,GROCERY I,1044,0,1,1,1,12.0
2013-01-05,9,275823,B,6,Pichincha,CLEANING,3018,0,1,3,1,14.0
2013-01-05,9,275826,B,6,Pichincha,CLEANING,3018,0,1,3,1,6.0
2013-01-05,9,278806,B,6,Pichincha,GROCERY I,1032,0,1,1,1,1.0
2013-01-05,9,279125,B,6,Pichincha,GROCERY I,1032,0,1,1,1,4.0
2013-01-05,9,279137,B,6,Pichincha,GROCERY I,1086,0,1,1,1,3.0
2013-01-05,9,279494,B,6,Pichincha,GROCERY I,1062,0,1,1,1,5.0
2013-01-05,9,302824,B,6,Pichincha,CLEANING,3008,0,1,3,1,8.0
2013-01-05,9,302952,B,6,Pichincha,BREAD/BAKERY,2712,1,1,0,1,9.0
2013-01-05,9,302997,B,6,Pichincha,GROCERY I,1096,0,1,1,1,2.0
2013-01-05,9,302998,B,6,Pichincha,GROCERY I,1096,0,1,1,1,1.0
2013-01-05,9,305074,B,6,Pichincha,GROCERY I,1044,0,1,1,1,6.0
2013-01-05,9,305081,B,6,Pichincha,GROCERY I,1045,0,1,1,1,16.0
2013-01-05,9,305234,B,6,Pichincha,GROCERY I,1044,0,1,1,1,5.0
2013-01-05,9,305237,B,6,Pichincha,GROCERY I,1044,0,1,1,1,13.0
2013-01-05,9,305341,B,6,Pichincha,GROCERY I,1092,0,1,1,1,6.0
2013-01-05,9,305344,B,6,Pichincha,GROCERY I,1092,0,1,1,1,8.0
2013-01-05,9,305345,B,6,Pichincha,GROCERY I,1092,0,1,1,1,5.0
2013-01-05,9,308085,B,6,Pichincha,BEVERAGES,1124,0,1,5,1,6.0
2013-01-05,9,308766,B,6,Pichincha,CLEANING,3026,0,1,3,1,1.0
2013-01-05,9,308916,B,6,Pichincha,CLEANING,3004,0,1,3,1,3.0
2013-01-05,9,308924,B,6,Pichincha,CLEANING,3004,0,1,3,1,2.0
2013-01-05,9,310671,B,6,Pichincha,GROCERY I,1034,0,1,1,1,24.0
2013-01-05,9,310790,B,6,Pichincha,GROCERY I,1034,0,1,1,1,29.0
2013-01-05,9,311954,B,6,Pichincha,CLEANING,3006,0,1,3,1,3.0
2013-01-05,9,312113,B,6,Pichincha,BREAD/BAKERY,2720,1,1,0,1,2.0
2013-01-05,9,312317,B,6,Pichincha,AUTOMOTIVE,6810,0,1,17,1,1.0
2013-01-05,9,312324,B,6,Pichincha,GROCERY I,1044,0,1,1,1,10.0
2013-01-05,9,313641,B,6,Pichincha,GROCERY I,1074,0,1,1,1,14.0
2013-01-05,9,314384,B,6,Pichincha,GROCERY I,1004,0,1,1,1,45.0
2013-01-05,9,314393,B,6,Pichincha,CLEANING,3032,0,1,3,1,14.0
2013-01-05,9,314570,B,6,Pichincha,CLEANING,3024,0,1,3,1,8.0
2013-01-05,9,314881,B,6,Pichincha,CLEANING,3034,0,1,3,1,6.0
2013-01-05,9,315176,B,6,Pichincha,BEVERAGES,1124,0,1,5,1,25.0
2013-01-05,9,315178,B,6,Pichincha,BEVERAGES,1124,0,1,5,1,2.0
2013-01-05,9,315179,B,6,Pichincha,BEVERAGES,1124,0,1,5,1,8.0
2013-01-05,9,315180,B,6,Pichincha,BEVERAGES,1124,0,1,5,1,2.0
2013-01-05,9,315220,B,6,Pichincha,GROCERY I,1014,0,1,1,1,17.0
2013-01-05,9,315277,B,6,Pichincha,GROCERY I,1040,0,1,1,1,19.0
2013-01-05,9,315279,B,6,Pichincha,GROCERY I,1040,0,1,1,1,10.0
2013-01-05,9,315320,B,6,Pichincha,GROCERY I,1066,0,1,1,1,7.0
2013-01-05,9,315322,B,6,Pichincha,GROCERY I,1084,0,1,1,1,10.0
2013-01-05,9,315460,B,6,Pichincha,GROCERY I,1016,0,1,1,1,2.0
2013-01-05,9,315463,B,6,Pichincha,GROCERY II,1236,0,1,11,1,6.0
2013-01-05,9,315474,B,6,Pichincha,BREAD/BAKERY,2718,1,1,0,1,11.0
2013-01-05,9,315712,B,6,Pichincha,GROCERY I,1072,0,1,1,1,3.0
2013-01-05,9,315713,B,6,Pichincha,GROCERY I,1072,0,1,1,1,2.0
2013-01-05,9,317285,B,6,Pichincha,GROCERY II,1236,0,1,11,1,7.0
2013-01-05,9,318787,B,6,Pichincha,GROCERY I,1040,0,1,1,1,23.0
2013-01-05,9,318847,B,6,Pichincha,CLEANING,3026,0,1,3,1,15.0
2013-01-05,9,318932,B,6,Pichincha,DELI,2644,1,1,2,1,17.0
2013-01-05,9,319093,B,6,Pichincha,DELI,2630,1,1,2,1,33.0
2013-01-05,9,319095,B,6,Pichincha,DELI,2640,1,1,2,1,1.0
2013-01-05,9,320681,B,6,Pichincha,GROCERY I,1080,0,1,1,1,7.0
2013-01-05,9,320682,B,6,Pichincha,GROCERY I,1080,0,1,1,1,94.0
2013-01-05,9,321798,B,6,Pichincha,CLEANING,3010,0,1,3,1,7.0
2013-01-05,9,322094,B,6,Pichincha,CLEANING,3020,0,1,3,1,25.0
2013-01-05,9,322095,B,6,Pichincha,CLEANING,3020,0,1,3,1,19.0
2013-01-05,9,323013,B,6,Pichincha,GROCERY I,1058,0,1,1,1,33.0
2013-01-05,9,323227,B,6,Pichincha,GROCERY I,1030,0,1,1,1,1.0
2013-01-05,9,323921,B,6,Pichincha,PERSONAL CARE,4114,0,1,4,1,33.0
2013-01-05,9,324206,B,6,Pichincha,CLEANING,3022,0,1,3,1,2.0
2013-01-05,9,329070,B,6,Pichincha,GROCERY I,1032,0,1,1,1,4.0
2013-01-05,9,329071,B,6,Pichincha,GROCERY I,1032,0,1,1,1,20.0
2013-01-05,9,329364,B,6,Pichincha,GROCERY I,1032,0,1,1,1,16.0
2013-01-05,9,329365,B,6,Pichincha,GROCERY I,1032,0,1,1,1,6.0
2013-01-05,9,346065,B,6,Pichincha,GROCERY I,1039,0,1,1,1,10.0
2013-01-05,9,346066,B,6,Pichincha,GROCERY I,1039,0,1,1,1,2.0
2013-01-05,9,352513,B,6,Pichincha,CLEANING,3012,0,1,3,1,13.0
2013-01-05,9,354918,B,6,Pichincha,GROCERY I,1034,0,1,1,1,12.0
2013-01-05,9,354919,B,6,Pichincha,GROCERY I,1034,0,1,1,1,51.0
2013-01-05,9,354922,B,6,Pichincha,GROCERY I,1034,0,1,1,1,2.0
2013-01-05,9,355090,B,6,Pichincha,GROCERY I,1024,0,1,1,1,5.0
2013-01-05,9,355091,B,6,Pichincha,GROCERY I,1038,0,1,1,1,9.0
2013-01-05,9,357961,B,6,Pichincha,EGGS,2502,1,1,7,1,11.0
2013-01-05,9,357962,B,6,Pichincha,EGGS,2502,1,1,7,1,11.0
2013-01-05,9,357996,B,6,Pichincha,DELI,2632,1,1,2,1,5.0
2013-01-05,9,358096,B,6,Pichincha,GROCERY I,1002,0,1,1,1,4.0
2013-01-05,9,358100,B,6,Pichincha,GROCERY I,1010,0,1,1,1,4.0
2013-01-05,9,358134,B,6,Pichincha,DAIRY,2124,1,1,6,1,7.0
2013-01-05,9,358231,B,6,Pichincha,CLEANING,3038,0,1,3,1,9.0
2013-01-05,9,358232,B,6,Pichincha,CLEANING,3038,0,1,3,1,5.0
2013-01-05,9,358264,B,6,Pichincha,GROCERY I,1078,0,1,1,1,9.0
2013-01-05,9,358515,B,6,Pichincha,GROCERY I,1024,0,1,1,1,3.0
2013-01-05,9,358519,B,6,Pichincha,GROCERY I,1084,0,1,1,1,6.0
2013-01-05,9,358561,B,6,Pichincha,CLEANING,3004,0,1,3,1,6.0
2013-01-05,9,360703,B,6,Pichincha,GROCERY I,1072,0,1,1,1,42.0
2013-01-05,9,360704,B,6,Pichincha,GROCERY I,1072,0,1,1,1,1.0
2013-01-05,9,361502,B,6,Pichincha,GROCERY I,1036,0,1,1,1,8.0
2013-01-05,9,362035,B,6,Pichincha,GROCERY I,1044,0,1,1,1,5.0
2013-01-05,9,362548,B,6,Pichincha,GROCERY I,1042,0,1,1,1,3.0
2013-01-05,9,363049,B,6,Pichincha,PERSONAL CARE,4114,0,1,4,1,1.0
2013-01-05,9,363868,B,6,Pichincha,GROCERY I,1016,0,1,1,1,18.0
2013-01-05,9,363889,B,6,Pichincha,GROCERY I,1058,0,1,1,1,6.0
2013-01-05,9,363895,B,6,Pichincha,CLEANING,3020,0,1,3,1,2.0
2013-01-05,9,364413,B,6,Pichincha,CLEANING,3032,0,1,3,1,7.0
2013-01-05,9,364606,B,6,Pichincha,GROCERY I,1014,0,1,1,1,102.0
2013-01-05,9,364738,B,6,Pichincha,BEVERAGES,1124,0,1,5,1,23.0
2013-01-05,9,364829,B,6,Pichincha,GROCERY I,1040,0,1,1,1,5.0
2013-01-05,9,364832,B,6,Pichincha,GROCERY I,1040,0,1,1,1,7.0
2013-01-05,9,364834,B,6,Pichincha,GROCERY I,1040,0,1,1,1,6.0
2013-01-05,9,364865,B,6,Pichincha,GROCERY II,1236,0,1,11,1,9.0
2013-01-05,9,365138,B,6,Pichincha,GROCERY I,1072,0,1,1,1,3.0
2013-01-05,9,365140,B,6,Pichincha,GROCERY I,1072,0,1,1,1,8.0
2013-01-05,9,365264,B,6,Pichincha,CLEANING,3090,0,1,3,1,15.0
2013-01-05,9,368136,B,6,Pichincha,GROCERY I,1040,0,1,1,1,23.0
2013-01-05,9,368140,B,6,Pichincha,GROCERY I,1040,0,1,1,1,5.0
2013-01-05,9,368213,B,6,Pichincha,DAIRY,2124,1,1,6,1,3.0
2013-01-05,9,368260,B,6,Pichincha,GROCERY I,1028,0,1,1,1,5.0
2013-01-05,9,368270,B,6,Pichincha,GROCERY I,1076,0,1,1,1,6.0
2013-01-05,9,368419,B,6,Pichincha,DELI,2644,1,1,2,1,5.0
2013-01-05,9,368624,B,6,Pichincha,BEVERAGES,1122,0,1,5,1,12.0
2013-01-05,9,368628,B,6,Pichincha,BEVERAGES,1122,0,1,5,1,2.0
2013-01-05,9,369432,B,6,Pichincha,GROCERY I,1036,0,1,1,1,1.0
2013-01-05,9,371130,B,6,Pichincha,CLEANING,3046,0,1,3,1,3.0
2013-01-05,9,371218,B,6,Pichincha,DAIRY,2116,1,1,6,1,1.0
2013-01-05,9,371434,B,6,Pichincha,GROCERY I,1058,0,1,1,1,7.0
2013-01-05,9,371437,B,6,Pichincha,CLEANING,3020,0,1,3,1,15.0
2013-01-05,9,371438,B,6,Pichincha,CLEANING,3020,0,1,3,1,27.0
2013-01-05,9,372369,B,6,Pichincha,DAIRY,2114,1,1,6,1,1.0
2013-01-05,9,372924,B,6,Pichincha,GROCERY I,1002,0,1,1,1,13.0
2013-01-05,9,373152,B,6,Pichincha,PERSONAL CARE,4114,0,1,4,1,19.0
2013-01-05,9,374464,B,6,Pichincha,GROCERY I,1016,0,1,1,1,5.0
2013-01-05,9,376194,B,6,Pichincha,GROCERY I,1016,0,1,1,1,11.0
2013-01-05,9,376427,B,6,Pichincha,EGGS,2502,1,1,7,1,7.0
2013-01-05,9,377978,B,6,Pichincha,"LIQUOR,WINE,BEER",1386,0,1,14,1,2.0
2013-01-05,9,378330,B,6,Pichincha,GROCERY I,1032,0,1,1,1,2.0
2013-01-05,9,378332,B,6,Pichincha,GROCERY I,1032,0,1,1,1,3.0
2013-01-05,9,378685,B,6,Pichincha,DAIRY,2102,1,1,6,1,29.0
2013-01-05,9,401817,B,6,Pichincha,GROCERY I,1078,0,1,1,1,2.0
2013-01-05,9,401911,B,6,Pichincha,CLEANING,3012,0,1,3,1,12.0
2013-01-05,9,402174,B,6,Pichincha,GROCERY I,1096,0,1,1,1,11.0
2013-01-05,9,402175,B,6,Pichincha,GROCERY I,1096,0,1,1,1,8.0
